race_group,n_samples,tp,fp,tn,fn,positive_rate_true,predicted_positive_rate,accuracy,precision,ppv,tpr,fpr,tnr,fnr,f1
AIAN,334,25,95,207,7,0.09580838323353294,0.3592814371257485,0.6946107784431138,0.20833333333333334,0.20833333333333334,0.78125,0.31456953642384106,0.6854304635761589,0.21875,0.32894736842105265
Asian,2190,90,406,1666,28,0.053881278538812784,0.2264840182648402,0.8018264840182648,0.1814516129032258,0.1814516129032258,0.7627118644067796,0.19594594594594594,0.8040540540540541,0.23728813559322035,0.2931596091205212
Black,3700,304,1162,2161,73,0.10189189189189189,0.3962162162162162,0.6662162162162162,0.2073669849931787,0.2073669849931787,0.8063660477453581,0.34968402046343666,0.6503159795365634,0.19363395225464192,0.32989690721649484
Other/Multi,1185,32,228,912,13,0.0379746835443038,0.21940928270042195,0.7966244725738396,0.12307692307692308,0.12307692307692308,0.7111111111111111,0.2,0.8,0.28888888888888886,0.2098360655737705
White,26597,1438,8267,16384,508,0.07316614655788246,0.36489077715531826,0.6700755724329812,0.14817104585265328,0.14817104585265328,0.7389516957862282,0.33536164861466067,0.6646383513853393,0.26104830421377184,0.24684576431207622
