model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,max_tpr_gap,max_fpr_gap,max_fnr_gap,max_pred_pos_gap,threshold
logreg_balanced_default_0.5,0.5294,0.7225,0.1309,0.9492,0.23,0.7805,0.0576,0.2531,0.0576,0.2595,
logreg_postprocessed_thr_0.60,0.6828,0.7138,0.1568,0.7502,0.2594,0.7805,0.0953,0.1537,0.0953,0.1768,0.6
