feature,coefficient,abs_coefficient
SCHOOLNOW_0.0,-2.2268081790179473,2.2268081790179473
EDUC_0.0,-2.2268081790179473,2.2268081790179473
SCHOOLNOW_1.0,1.5870126583734365,1.5870126583734365
YSKIMPMEDYR_0.0,-1.1524017387443954,1.1524017387443954
YSKIPMEDYR_0.0,-1.1524017387443954,1.1524017387443954
EDUC_103.0,0.839124490754723,0.839124490754723
USUALPL_1.0,-0.8202039890003765,0.8202039890003765
EDUC_116.0,0.6178493482255337,0.6178493482255337
EDUC_202.0,0.5665367538553227,0.5665367538553227
CITIZEN_1.0,-0.5222717471197184,0.5222717471197184
USBORN_20.0,-0.48655576777713977,0.48655576777713977
HIUNABLEPAY_0.0,-0.4235075885019379,0.4235075885019379
EDUC_201.0,0.3959500822770616,0.3959500822770616
EDUC_522.0,-0.3952053569256082,0.3952053569256082
YSKIPMEDYR_2.0,0.3806131897592585,0.3806131897592585
EDUC_302.0,0.36413806446005514,0.36413806446005514
EDUC_520.0,-0.3451614062697421,0.3451614062697421
YSKIMPMEDYR_2.0,0.33570645261654614,0.33570645261654614
EDUC_301.0,0.30555200940404265,0.30555200940404265
EDUC_521.0,-0.3016358410546127,0.3016358410546127
EDUC_510.0,-0.2898213669162,0.2898213669162
EDUC_303.0,0.26424623673346853,0.26424623673346853
EDUC_400.0,-0.25718567212324867,0.25718567212324867
USUALPL_2.0,0.23330413406083494,0.23330413406083494
YSKIMPMEDYR_1.0,0.18982265792109201,0.18982265792109201
EDUC_102.0,-0.16445179161072715,0.16445179161072715
YEAR_2020.0,-0.15341563443503195,0.15341563443503195
YSKIPMEDYR_1.0,0.14491592077837756,0.14491592077837756
USBORN_10.0,-0.14031686043082447,0.14031686043082447
HIUNABLEPAY_1.0,-0.1329499672466533,0.1329499672466533
YEAR_2022.0,-0.12822377066765575,0.12822377066765575
YEAR_2021.0,-0.12077602586980324,0.12077602586980324
YEAR_2024.0,-0.11523707761721004,0.11523707761721004
YEAR_2023.0,-0.10922011961850717,0.10922011961850717
CITIZEN_2.0,-0.10460088108867911,0.10460088108867911
HIUNABLEPAY_2.0,-0.070415072459923,0.070415072459923
USUALPL_3.0,-0.039972773268273365,0.039972773268273365
SCHOOLNOW_2.0,0.012922892437892672,0.012922892437892672
