race_group,n_samples,tp,fp,tn,fn,positive_rate_true,predicted_positive_rate,accuracy,precision,ppv,tpr,fpr,tnr,fnr,f1
AIAN,334,27,104,198,5,0.09580838323353294,0.39221556886227543,0.6736526946107785,0.20610687022900764,0.20610687022900764,0.84375,0.3443708609271523,0.6556291390728477,0.15625,0.3312883435582822
Asian,2190,91,498,1574,27,0.053881278538812784,0.26894977168949774,0.7602739726027398,0.15449915110356535,0.15449915110356535,0.7711864406779662,0.24034749034749034,0.7596525096525096,0.2288135593220339,0.25742574257425743
Black,3700,318,1301,2022,59,0.10189189189189189,0.4375675675675676,0.6324324324324324,0.19641754169240272,0.19641754169240272,0.843501326259947,0.3915136924465844,0.6084863075534156,0.15649867374005305,0.3186372745490982
Other/Multi,1185,39,277,863,6,0.0379746835443038,0.26666666666666666,0.7611814345991561,0.12341772151898735,0.12341772151898735,0.8666666666666667,0.24298245614035088,0.7570175438596491,0.13333333333333333,0.21606648199445982
White,26597,1659,11124,13527,287,0.07316614655788246,0.48061811482498024,0.5709666503741023,0.12978174137526402,0.12978174137526402,0.8525179856115108,0.45125958378970427,0.5487404162102957,0.1474820143884892,0.22526987575531265
