race_group,n_train,n_test,n_train_positive,train_positive_rate,n_test_positive,test_positive_rate
AIAN,1345,334,146,0.10855018587360594,32,0.09580838323353294
Asian,8628,2190,523,0.06061659712563746,118,0.053881278538812784
Black,15449,3700,1615,0.10453751051848016,377,0.10189189189189189
Other/Multi,4650,1185,228,0.04903225806451613,45,0.0379746835443038
White,105950,26597,7558,0.07133553563001416,1946,0.07316614655788246
