race_group,n_samples,tp,fp,tn,fn,positive_rate_true,predicted_positive_rate,accuracy,precision,ppv,tpr,fpr,tnr,fnr,f1
AIAN,334,31,113,189,1,0.09580838323353294,0.4311377245508982,0.6586826347305389,0.2152777777777778,0.2152777777777778,0.96875,0.3741721854304636,0.6258278145695364,0.03125,0.3522727272727273
Asian,2190,110,650,1422,8,0.053881278538812784,0.3470319634703196,0.6995433789954338,0.14473684210526316,0.14473684210526316,0.9322033898305084,0.3137065637065637,0.6862934362934363,0.06779661016949153,0.2505694760820046
Black,3700,358,1520,1803,19,0.10189189189189189,0.5075675675675676,0.5840540540540541,0.1906283280085197,0.1906283280085197,0.9496021220159151,0.45741799578693954,0.5425820042130605,0.050397877984084884,0.31751662971175165
Other/Multi,1185,41,325,815,4,0.0379746835443038,0.30886075949367087,0.7223628691983123,0.11202185792349727,0.11202185792349727,0.9111111111111111,0.2850877192982456,0.7149122807017544,0.08888888888888889,0.19951338199513383
White,26597,1850,13266,11385,96,0.07316614655788246,0.5683347745986389,0.49761251268940104,0.12238687483461233,0.12238687483461233,0.9506680369989723,0.5381526104417671,0.46184738955823296,0.04933196300102775,0.21685617160942444
